,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,year,make,model,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,income,using_time,region,K
22,22,22,119774,2013,ford,Fiesta,sedan,automatic,pa,5.0,25896.0,red,black,9525,10000,73100,2,northeast,2
23,23,23,148064,2009,kia,Rio,sedan,automatic,az,2.5,111915.0,black,black,2450,3000,63250,6,southwest,2
24,24,24,245037,2013,hyundai,Sonata,sedan,automatic,fl,4.2,35430.0,red,beige,15550,15200,59100,2,southeast,1
25,25,25,245079,2013,toyota,Camry,sedan,automatic,fl,3.2,59960.0,black,gray,11550,11500,59100,2,southeast,1
26,26,26,69151,2008,mazda,Mazda3,sedan,automatic,tx,2.0,120949.0,red,black,3825,4000,68360,6,southwest,2
27,27,27,232489,2012,nissan,Altima,coupe,automatic,fl,4.5,34054.0,white,black,13500,14400,59100,3,southeast,1
28,28,28,192752,2011,infiniti,G Sedan,sedan,automatic,fl,1.9,69039.0,gray,black,16200,14000,59100,4,southeast,1
29,29,29,402645,2006,ford,F-150,cab,automatic,il,3.0,172388.0,white,gray,3775,2500,73130,8,midwest,0
30,30,30,234421,2014,chevrolet,Impala,sedan,automatic,fl,3.0,19085.0,gray,black,18400,18500,59100,1,southeast,1
31,31,31,450618,2015,dodge,Dart,sedan,automatic,ny,5.0,2130.0,blue,black,14000,14100,70210,0,northeast,0
32,32,32,93646,2014,ford,Mustang,coupe,automatic,tx,3.4,42485.0,black,black,17300,18100,68360,1,southwest,2
33,33,33,442467,2013,hyundai,Genesis,sedan,automatic,mo,3.2,45205.0,silver,black,15600,14601,71660,2,midwest,0
34,34,34,336094,2005,chrysler,Town and Country,van,automatic,ga,2.1,128253.0,silver,gray,3200,2700,61450,9,southeast,0
35,35,35,120714,2009,dodge,Grand Caravan,van,automatic,pa,2.5,221872.0,green,black,3450,1000,73100,6,northeast,2
36,36,36,319897,2007,chrysler,Town and Country,van,automatic,oh,1.9,87535.0,—,gray,4425,3400,64520,8,midwest,0
37,37,37,129111,2012,honda,Civic,coupe,automatic,pa,2.7,34813.0,white,gray,11600,9700,73100,3,northeast,2
38,38,38,184006,2008,subaru,Outback,wagon,automatic,md,2.7,104673.0,blue,black,7650,7100,89090,7,northeast,1
39,39,39,311370,2014,ford,Focus,sedan,automatic,oh,4.8,5263.0,—,black,12600,13600,64520,1,midwest,1
40,40,40,451949,2004,dodge,Dakota,cab,automatic,ma,1.9,141643.0,black,black,4700,1300,82150,11,northeast,0
41,41,41,87051,2014,nissan,Versa Note,hatchback,automatic,tx,2.9,9815.0,white,—,11000,8500,68360,1,southwest,2
42,42,42,70132,2010,buick,Enclave,suv,automatic,tx,4.1,83587.0,brown,tan,16100,16000,68360,4,southwest,2
43,43,43,449117,2002,volkswagen,Golf,hatchback,manual,ny,4.0,204262.0,silver,black,1200,3400,70210,13,northeast,0
44,44,44,341185,2000,volvo,S70,sedan,automatic,ga,1.9,207321.0,gray,tan,525,1000,61450,15,southeast,0
45,45,45,11963,2007,infiniti,FX35,suv,automatic,ca,3.3,63733.0,brown,brown,13850,15000,77030,8,pacific,2
46,46,46,429561,2014,chevrolet,Suburban,suv,automatic,ut,4.1,26035.0,white,black,36100,36000,80200,1,mountain west,0
47,47,47,369942,2006,cadillac,SRX,suv,automatic,va,3.6,56626.0,white,tan,8075,9800,74430,9,southeast,0
48,48,48,431060,2013,ford,C-Max Hybrid,wagon,automatic,mo,4.2,25899.0,blue,gray,16850,14800,71660,2,midwest,0
49,49,49,268393,2014,nissan,Maxima,sedan,automatic,nj,4.3,20328.0,white,black,16750,15600,82750,1,northeast,1
50,50,50,418181,2013,honda,Pilot,suv,automatic,il,4.8,32260.0,black,black,30300,30600,73130,2,midwest,0
51,51,51,417405,2014,ford,E-Series Van,van,automatic,il,4.1,8503.0,white,gray,20400,21600,73130,1,midwest,0
52,52,52,33212,2012,mazda,Mazda3,sedan,manual,ca,3.9,34777.0,green,black,10050,10750,77030,3,pacific,2
53,53,53,231002,1997,toyota,Camry,sedan,automatic,fl,2.9,112240.0,green,tan,1850,2000,59100,18,southeast,1
54,54,54,94355,2013,nissan,Versa,sedan,automatic,tx,4.3,12496.0,silver,black,10150,10600,68360,2,southwest,2
55,55,55,377672,2014,ford,Escape,suv,automatic,sc,4.8,29330.0,blue,beige,16250,15700,56120,1,southeast,0
56,56,56,110406,2013,ford,Fiesta,sedan,automatic,pa,4.5,16268.0,gray,tan,10100,10500,73100,2,northeast,2
57,57,57,102189,2014,ford,Expedition,suv,automatic,tx,5.0,40218.0,white,brown,29700,29600,68360,1,southwest,2
58,58,58,319783,2008,honda,Odyssey,van,automatic,oh,4.4,92818.0,gold,tan,10400,12500,64520,7,midwest,0
59,59,59,194210,2014,ford,Mustang,coupe,manual,fl,4.8,18935.0,white,black,23400,23500,59100,1,southeast,1
60,60,60,223528,2006,chrysler,300,sedan,automatic,fl,1.9,158110.0,blue,black,3600,3200,59100,9,southeast,1
61,61,61,279397,2004,honda,Civic,sedan,automatic,nj,1.9,122855.0,black,gray,3400,3450,82750,11,northeast,1
62,62,62,377695,2013,chrysler,Town and Country,van,automatic,sc,3.9,62212.0,silver,black,13450,14500,56120,2,southeast,0
63,63,63,415713,2012,nissan,Rogue,suv,automatic,il,4.5,22734.0,white,gray,15200,16000,73130,3,midwest,0
64,64,64,218945,2012,mercedes-benz,C-Class,sedan,automatic,fl,4.4,8136.0,black,black,23100,25000,59100,3,southeast,1
65,65,65,1296,2012,kia,Sorento,suv,automatic,ca,4.8,53444.0,white,beige,12550,14500,77030,2,pacific,2
66,66,66,226711,2009,hyundai,Santa Fe,suv,automatic,fl,3.3,70787.0,white,beige,11550,11300,59100,6,southeast,1
67,67,67,455753,2006,cadillac,DTS,sedan,automatic,ma,3.9,60785.0,red,tan,7075,5000,82150,9,northeast,0
68,68,68,257810,2013,infiniti,G Sedan,sedan,automatic,fl,3.9,27373.0,black,black,20300,19200,59100,2,southeast,1
69,69,69,182892,2000,chevrolet,Tahoe Limited/Z71,suv,automatic,md,1.9,107451.0,gray,gray,2725,2000,89090,15,northeast,1
70,70,70,229150,2012,ford,Mustang,convertible,automatic,fl,4.8,34841.0,white,white,14200,16200,59100,3,southeast,1
71,71,71,440555,2014,ford,Fusion,sedan,automatic,mo,4.3,38962.0,silver,black,15000,14800,71660,1,midwest,0
72,72,72,127466,2012,ford,Escape,suv,automatic,pa,4.9,21244.0,red,gray,15350,15000,73100,3,northeast,2
73,73,73,213166,2011,bmw,3 Series,sedan,automatic,fl,3.4,37013.0,white,black,18250,17800,59100,4,southeast,1
74,74,74,61026,2011,lexus,RX 450h,suv,automatic,ca,3.0,51735.0,burgundy,beige,26800,25250,77030,4,pacific,2
75,75,75,175499,2007,chevrolet,Silverado 1500,cab,automatic,tn,3.5,131684.0,silver,gray,9100,10200,57290,8,southeast,1
76,76,76,239552,2015,chevrolet,Impala,sedan,automatic,fl,4.0,12566.0,silver,gray,25300,26800,59100,0,southeast,1
77,77,77,297739,2012,acura,TSX Sport Wagon,wagon,automatic,nv,4.1,31621.0,gray,black,18500,21750,62960,3,mountain west,1
78,78,78,442932,2008,nissan,Quest,van,automatic,mo,1.7,166898.0,white,tan,3175,2900,71660,7,midwest,0
79,79,79,245855,2004,ford,Explorer,suv,automatic,fl,1.9,162641.0,silver,gray,1700,1300,59100,11,southeast,1
80,80,80,345537,2012,chevrolet,Silverado 1500,cab,automatic,ga,2.4,45464.0,silver,black,22200,23200,61450,3,southeast,0
81,81,81,287050,2011,hyundai,Elantra Touring,hatchback,automatic,nj,2.8,132343.0,silver,black,4300,6100,82750,4,northeast,1
82,82,82,260269,2013,toyota,Camry,sedan,automatic,fl,2.4,27108.0,black,black,12650,11200,59100,2,southeast,1
83,83,83,465482,2011,acura,MDX,suv,automatic,wa,3.5,18585.0,gray,black,26500,25900,81400,4,pacific,0
84,84,84,354787,2007,ford,Mustang,convertible,automatic,ga,1.9,117578.0,gray,black,6725,7000,61450,8,southeast,0
85,85,85,63865,2012,dodge,Grand Caravan,van,automatic,ca,2.9,72046.0,gray,black,9325,9000,77030,3,pacific,2
86,86,86,162074,2013,mercedes-benz,E-Class,sedan,automatic,tn,3.4,14505.0,—,black,30500,31000,57290,2,southeast,1
87,87,87,382096,2010,dodge,Grand Caravan,van,automatic,nc,3.0,97719.0,gold,beige,7975,6500,61490,5,southeast,0
88,88,88,74942,2010,ford,F-150,cab,automatic,tx,4.4,124850.0,black,brown,19000,21100,68360,5,southwest,2
89,89,89,141390,2012,lexus,IS 250,sedan,automatic,az,3.1,31756.0,silver,black,22000,21800,63250,2,southwest,2
90,90,90,169334,2014,nissan,Altima,sedan,automatic,tn,5.0,15943.0,—,black,16100,21700,57290,1,southeast,1
91,91,91,309650,2014,ford,Explorer,suv,automatic,oh,5.0,21956.0,black,black,31600,30100,64520,1,midwest,1
92,92,92,305085,2012,ford,F-150,cab,automatic,oh,4.3,23714.0,red,gray,25900,27300,64520,3,midwest,1
93,93,93,119207,2015,kia,Soul,wagon,automatic,pa,4.8,10127.0,brown,black,14250,15300,73100,0,northeast,2
94,94,94,371016,2010,chevrolet,Camaro,coupe,automatic,va,3.9,82362.0,blue,black,14700,14000,74430,5,southeast,0
95,95,95,72580,2014,ford,F-150,cab,automatic,tx,4.1,5834.0,white,gray,18500,18100,68360,1,southwest,2
96,96,96,87106,2013,hyundai,Sonata,sedan,automatic,tx,4.3,24000.0,black,gray,13100,13200,68360,2,southwest,2
97,97,97,369857,2012,dodge,Grand Caravan,van,automatic,va,2.0,87582.0,white,black,8975,7200,74430,3,southeast,0
98,98,98,66517,2009,chevrolet,Silverado 1500,cab,automatic,tx,2.4,143956.0,silver,gray,12600,9600,68360,5,southwest,2
99,99,99,272688,2012,honda,Pilot,suv,automatic,nj,3.5,53440.0,gray,gray,19600,18600,82750,3,northeast,1
100,100,100,404119,2013,ford,Edge,suv,automatic,il,4.2,51697.0,white,beige,20500,22300,73130,2,midwest,0
101,101,101,465725,2012,nissan,Leaf,hatchback,automatic,wa,4.4,21734.0,red,beige,7875,9100,81400,3,pacific,0
102,102,102,427093,2014,ford,Fusion,sedan,automatic,co,4.6,33394.0,—,black,16700,17300,80610,1,mountain west,0
103,103,103,37783,2013,toyota,Sienna,van,automatic,ca,3.2,49819.0,gray,gray,17900,20000,77030,2,pacific,2
104,104,104,105367,2008,nissan,Altima,coupe,automatic,tx,1.9,216364.0,black,black,3200,2300,68360,7,southwest,2
105,105,105,230721,2013,audi,Q5,suv,automatic,fl,4.7,24354.0,blue,gray,35900,36000,59100,2,southeast,1
106,106,106,82814,2012,chevrolet,Tahoe,suv,automatic,tx,3.9,66996.0,white,black,23700,25000,68360,3,southwest,2
107,107,107,410756,2012,volkswagen,Passat,sedan,automatic,il,3.1,30881.0,white,black,12150,12800,73130,3,midwest,0
108,108,108,74662,2013,dodge,Avenger,sedan,automatic,tx,3.6,38176.0,blue,black,10200,10200,68360,2,southwest,2
109,109,109,143133,2012,jeep,Compass,suv,automatic,az,3.6,72325.0,gray,black,10350,11500,63250,3,southwest,2
110,110,110,441116,2013,hyundai,Elantra,sedan,automatic,mo,4.3,39279.0,gold,tan,11300,11500,71660,2,midwest,0
111,111,111,403891,2012,honda,Civic,sedan,automatic,il,4.2,30654.0,black,gray,11300,11400,73130,3,midwest,0
112,112,112,444754,2014,ford,Focus,sedan,automatic,mo,3.8,33496.0,white,gray,10550,11300,71660,1,midwest,0
113,113,113,418299,2013,toyota,4Runner,suv,automatic,il,3.4,45751.0,white,black,27000,26200,73130,2,midwest,0
114,114,114,218806,2014,chevrolet,Cruze,sedan,automatic,fl,3.0,17617.0,gray,gray,12450,12600,59100,1,southeast,1
115,115,115,190846,2014,bmw,Z4,convertible,automatic,fl,4.4,8676.0,orange,black,44100,44000,59100,0,southeast,1
116,116,116,372382,2005,gmc,Sierra 1500,cab,automatic,va,2.2,127771.0,white,beige,8050,6500,74430,10,southeast,0
117,117,117,272899,2005,volkswagen,Jetta,sedan,automatic,nj,2.4,86698.0,gray,black,3325,3000,82750,10,northeast,1
118,118,118,239502,2013,mercedes-benz,S-Class,sedan,automatic,fl,3.6,14754.0,—,black,52200,51250,59100,2,southeast,1
119,119,119,47649,2013,dodge,Challenger,coupe,automatic,ca,4.1,40721.0,gray,black,21600,21700,77030,2,pacific,2
120,120,120,398965,2011,ram,1500,cab,automatic,in,3.6,147312.0,white,gray,7550,10200,62930,4,midwest,0
121,121,121,194797,2012,nissan,Altima,sedan,automatic,fl,4.4,36575.0,blue,black,12100,11800,59100,3,southeast,1
122,122,122,232701,2011,ford,Taurus,sedan,automatic,fl,2.0,45843.0,gray,gray,13400,12000,59100,4,southeast,1
123,123,123,232484,2012,nissan,Altima,sedan,automatic,fl,4.3,28841.0,brown,beige,12800,14800,59100,3,southeast,1
124,124,124,82515,2013,dodge,Avenger,sedan,automatic,tx,3.6,46447.0,red,brown,9825,10000,68360,2,southwest,2
125,125,125,368362,2007,nissan,Armada,suv,automatic,va,2.8,131171.0,red,tan,7325,7900,74430,8,southeast,0
126,126,126,128123,2013,mitsubishi,Lancer,sedan,automatic,pa,4.1,7982.0,white,black,11200,10400,73100,2,northeast,2
127,127,127,407892,2014,chrysler,Town and Country,van,automatic,il,4.0,29822.0,black,beige,18550,18900,73130,1,midwest,0
128,128,128,358386,2005,honda,Civic,sedan,automatic,ga,1.9,99676.0,blue,gray,2700,3600,61450,10,southeast,0
129,129,129,270577,2011,bmw,X5,suv,automatic,nj,2.9,54432.0,black,brown,25200,22500,82750,4,northeast,1
130,130,130,355011,2011,nissan,Frontier,cab,manual,ga,1.0,65088.0,silver,gray,14850,10000,61450,4,southeast,0
131,131,131,211271,2010,mercury,Mariner,suv,automatic,fl,2.9,82189.0,black,tan,8775,7800,59100,5,southeast,1
132,132,132,253461,2008,volkswagen,GLI,sedan,automatic,fl,3.4,79096.0,gray,gray,7875,7400,59100,7,southeast,1
133,133,133,143642,2014,chevrolet,Malibu,sedan,automatic,az,4.5,14705.0,blue,gray,14150,15100,63250,1,southwest,2
134,134,134,123957,2008,saturn,VUE,suv,automatic,pa,4.3,93933.0,silver,gray,6025,5400,73100,7,northeast,2
135,135,135,355108,2009,chevrolet,Express Cargo,van,automatic,ga,2.6,199344.0,white,gray,6675,6600,61450,6,southeast,0
136,136,136,269092,2012,nissan,Maxima,sedan,automatic,nj,2.8,60854.0,black,black,14600,13500,82750,3,northeast,1
137,137,137,221325,2011,nissan,370Z,coupe,automatic,fl,4.2,26092.0,black,black,20800,22300,59100,4,southeast,1
138,138,138,336807,2005,chevrolet,Tahoe,suv,automatic,ga,2.8,127144.0,blue,gray,6050,4600,61450,9,southeast,0
139,139,139,466626,2007,gmc,Yukon,suv,automatic,wa,2.2,106449.0,blue,black,16400,18200,81400,8,pacific,0
140,140,140,95742,2012,nissan,Versa,sedan,automatic,tx,3.3,24044.0,gray,black,17800,16000,68360,3,southwest,2
141,141,141,31871,2013,toyota,Prius,hatchback,automatic,ca,3.7,59288.0,gray,gray,14250,14900,77030,2,pacific,2
142,142,142,139763,2013,ford,Fusion Energi,sedan,automatic,mn,4.9,23730.0,—,black,17300,17700,83200,2,midwest,2
143,143,143,419165,2014,dodge,Grand Caravan,van,automatic,il,3.0,17204.0,gray,black,19350,19900,73130,1,midwest,0
144,144,144,316579,2013,ford,Fusion,sedan,automatic,oh,3.8,23679.0,gray,black,14000,13200,64520,2,midwest,1
145,145,145,435241,2011,gmc,Acadia,suv,automatic,mo,5.0,68468.0,white,black,13700,14300,71660,4,midwest,0
146,146,146,338162,2008,dodge,Magnum,wagon,automatic,ga,3.9,109004.0,silver,black,5175,6100,61450,7,southeast,0
147,147,147,377061,2013,nissan,Maxima,sedan,automatic,sc,3.0,54329.0,burgundy,black,16050,9000,56120,2,southeast,0
148,148,148,227149,2012,toyota,Camry,sedan,automatic,fl,3.3,60282.0,silver,tan,12000,12500,59100,3,southeast,1
149,149,149,93621,2014,dodge,Durango,suv,automatic,tx,4.9,15930.0,gray,tan,28800,28300,68360,1,southwest,2
150,150,150,132035,2011,kia,Optima,sedan,automatic,mn,4.1,80972.0,gray,black,8675,8600,83200,4,midwest,2
151,151,151,107673,2011,ford,F-150,cab,automatic,tx,1.9,42801.0,blue,gray,20400,20400,68360,4,southwest,2
152,152,152,428047,2001,chrysler,Town and Country,van,automatic,co,1.9,200611.0,silver,gray,925,700,80610,14,mountain west,0
153,153,153,262402,2013,kia,Optima,sedan,automatic,ne,3.5,57524.0,burgundy,tan,11550,11300,73200,2,midwest,1
154,154,154,128145,2012,chevrolet,Equinox,suv,automatic,pa,3.5,35596.0,black,black,15450,14200,73100,3,northeast,2
155,155,155,192190,2001,toyota,Corolla,sedan,automatic,fl,1.9,131767.0,green,beige,1600,1500,59100,13,southeast,1
156,156,156,169209,2014,ford,Fusion,sedan,automatic,tn,3.9,31004.0,—,black,14650,14800,57290,1,southeast,1
157,157,157,203310,2014,chevrolet,Impala,sedan,automatic,fl,4.0,24386.0,red,black,18850,19200,59100,1,southeast,1
158,158,158,181447,2013,chrysler,Town and Country,van,automatic,md,3.6,65334.0,gray,gray,12950,12800,89090,2,northeast,1
159,159,159,275992,2015,bmw,5 Series,sedan,automatic,nj,4.5,7192.0,white,black,48800,48500,82750,0,northeast,1
160,160,160,277095,2012,ford,Fusion,sedan,automatic,nj,2.4,21967.0,gray,black,13900,12700,82750,3,northeast,1
161,161,161,144178,2003,mercedes-benz,C-Class,sedan,automatic,az,3.4,147017.0,blue,beige,2475,3200,63250,12,southwest,2
162,162,162,85036,2004,pontiac,Grand Prix,sedan,automatic,tx,2.2,215901.0,silver,gray,1075,1300,68360,11,southwest,2
163,163,163,23351,2009,toyota,Camry,sedan,automatic,ca,2.9,90198.0,white,beige,9225,9800,77030,6,pacific,2
164,164,164,71279,2011,toyota,Camry Hybrid,sedan,automatic,tx,4.6,61076.0,gray,silver,13250,12800,68360,4,southwest,2
165,165,165,298541,2013,lexus,RX 450h,suv,automatic,nv,3.6,38366.0,silver,black,33800,32750,62960,2,mountain west,1
166,166,166,333109,2013,ford,Fusion Energi,sedan,automatic,mi,4.3,2273.0,white,black,17500,17800,65610,2,midwest,0
167,167,167,468595,2013,chevrolet,Cruze,sedan,automatic,ms,2.9,43091.0,burgundy,black,9075,8000,48460,2,southeast,0
168,168,168,459269,2005,dodge,Durango,suv,automatic,la,1.9,136777.0,blue,black,3450,2800,55590,10,southeast,0
169,169,169,40217,2007,acura,MDX,suv,automatic,ca,2.5,111647.0,black,beige,13250,14600,77030,8,pacific,2
170,170,170,282776,2013,ford,Escape,suv,automatic,nj,4.3,66858.0,—,black,13900,15000,82750,2,northeast,1
171,171,171,214527,2014,ford,Fiesta,hatchback,automatic,fl,2.0,34200.0,blue,black,10400,8000,59100,1,southeast,1
172,172,172,273252,2007,honda,Civic,sedan,automatic,nj,2.1,147502.0,silver,blue,3850,3000,82750,8,northeast,1
173,173,173,57418,2010,nissan,Murano,suv,automatic,ca,4.3,61930.0,black,black,15050,15400,77030,5,pacific,2
174,174,174,155962,2013,bmw,M3,convertible,manual,wi,4.8,10508.0,gray,beige,42200,47000,67090,2,midwest,1
175,175,175,396,2013,mazda,Mazda5,van,automatic,ca,3.5,39272.0,red,gray,11300,12400,77030,1,pacific,2
176,176,176,107063,2009,dodge,Ram Pickup 1500,cab,automatic,tx,3.0,66228.0,white,black,9825,10700,68360,6,southwest,2
177,177,177,368636,2006,hyundai,Azera,sedan,automatic,va,2.0,154036.0,gold,beige,2725,2600,74430,9,southeast,0
178,178,178,98271,2005,pontiac,Grand Am,sedan,automatic,tx,3.1,110916.0,silver,gray,2050,1700,68360,10,southwest,2
179,179,179,126346,2013,dodge,Dart,sedan,manual,pa,3.3,22536.0,red,black,12800,12100,73100,2,northeast,2
180,180,180,453178,2010,chevrolet,Equinox,suv,automatic,ma,2.8,81283.0,gray,black,8925,7800,82150,5,northeast,0
181,181,181,422879,2014,lincoln,MKS,sedan,automatic,co,4.6,43592.0,brown,black,25200,24700,80610,1,mountain west,0
182,182,182,97055,2007,toyota,Avalon,sedan,automatic,tx,3.7,81537.0,burgundy,gray,9775,8500,68360,8,southwest,2
183,183,183,60739,2013,infiniti,G Sedan,sedan,automatic,ca,3.9,22728.0,gray,black,20900,20000,77030,2,pacific,2
184,184,184,235531,2010,hyundai,Santa Fe,suv,automatic,fl,3.3,210159.0,white,gray,7650,9700,59100,5,southeast,1
185,185,185,340853,2008,toyota,Tundra,cab,automatic,ga,2.5,117361.0,gray,gray,10600,12200,61450,7,southeast,0
186,186,186,249467,2012,toyota,Camry,sedan,automatic,fl,4.4,23273.0,silver,black,14400,15200,59100,3,southeast,1
187,187,187,36240,2013,chevrolet,Camaro,coupe,manual,ca,2.5,34228.0,gray,black,24600,23250,77030,2,pacific,2
188,188,188,210173,2008,scion,tC,hatchback,automatic,fl,1.9,119835.0,blue,black,4450,5000,59100,7,southeast,1
189,189,189,346450,2012,mercedes-benz,C-Class,coupe,automatic,ga,3.9,29508.0,black,black,22000,21750,61450,3,southeast,0
190,190,190,151518,2013,mercedes-benz,E-Class,sedan,automatic,wi,4.3,23213.0,—,black,29100,29250,67090,2,midwest,2
191,191,191,147814,2014,toyota,Camry,sedan,automatic,az,3.5,21182.0,beige,beige,14700,15200,63250,1,southwest,2
192,192,192,239195,2013,bmw,X5,suv,automatic,fl,4.9,4789.0,white,beige,43100,44800,59100,2,southeast,1
193,193,193,46335,2008,jeep,Wrangler,suv,automatic,ca,4.1,73333.0,burgundy,beige,20300,21300,77030,7,pacific,2
194,194,194,322327,2008,dodge,Charger,sedan,automatic,mi,1.9,116506.0,gray,black,6050,3700,65610,7,midwest,0
195,195,195,443319,2014,ford,Focus,sedan,automatic,mo,4.5,33096.0,—,black,10700,11200,71660,1,midwest,0
196,196,196,37622,2013,chevrolet,Camaro,convertible,automatic,ca,3.5,41704.0,red,black,17900,18000,77030,2,pacific,2
197,197,197,99771,2013,jeep,Compass,suv,automatic,tx,3.5,20046.0,black,gray,12600,12400,68360,2,southwest,2
198,198,198,156183,2014,subaru,Forester,suv,automatic,wi,2.1,61299.0,white,gray,18100,15500,67090,1,midwest,1
199,199,199,133606,2013,chevrolet,Cruze,sedan,automatic,mn,4.7,32505.0,white,black,11500,11900,83200,2,midwest,2
200,200,200,444794,2008,ford,F-150,cab,automatic,mo,4.1,64203.0,red,black,17200,17600,71660,7,midwest,0
201,201,201,336821,2005,jeep,Grand Cherokee,suv,automatic,ga,2.0,103895.0,blue,beige,6025,1800,61450,9,southeast,0
202,202,202,200590,2013,ford,F-150,cab,automatic,fl,2.8,41833.0,red,gray,21900,21400,59100,2,southeast,1
203,203,203,80941,2000,ford,Explorer,suv,automatic,tx,3.8,165773.0,white,tan,1000,1250,68360,15,southwest,2
204,204,204,266478,2008,honda,Accord,sedan,automatic,nj,2.7,61121.0,silver,black,10300,10000,82750,6,northeast,1
205,205,205,215689,2011,mercedes-benz,S-Class,sedan,automatic,fl,4.9,28321.0,white,beige,57000,62750,59100,4,southeast,1
206,206,206,138988,2014,toyota,Camry,sedan,automatic,mn,3.7,40413.0,white,black,14250,13700,83200,1,midwest,2
207,207,207,119789,2013,lincoln,MKX,suv,automatic,pa,4.1,16551.0,white,brown,30100,31400,73100,2,northeast,2
208,208,208,424117,2013,chevrolet,Cruze,sedan,automatic,co,2.3,70847.0,white,gray,8475,8700,80610,2,mountain west,0
209,209,209,84849,2008,chevrolet,Silverado 1500,cab,automatic,tx,1.9,111473.0,purple,black,12300,11500,68360,7,southwest,2
210,210,210,370029,2001,toyota,4Runner,suv,automatic,va,1.9,279720.0,green,blue,2425,1900,74430,14,southeast,0
211,211,211,204617,2002,chevrolet,S-10,cab,automatic,fl,1.9,119012.0,black,black,2650,2500,59100,13,southeast,1
212,212,212,131119,2010,ford,Mustang,coupe,manual,pa,3.1,51934.0,black,black,18500,16200,73100,5,northeast,2
213,213,213,416868,2014,ford,Taurus,sedan,automatic,il,4.4,16924.0,brown,beige,21500,21600,73130,1,midwest,0
214,214,214,109978,2011,toyota,Prius,hatchback,automatic,pa,3.7,93554.0,silver,gray,12200,10100,73100,4,northeast,2
215,215,215,187255,2007,mercury,Milan,sedan,automatic,fl,2.4,102889.0,gray,black,5475,5000,59100,7,southeast,1
216,216,216,203832,2013,nissan,Pathfinder,suv,automatic,fl,4.4,23529.0,red,black,20900,20200,59100,2,southeast,1
217,217,217,222644,2013,mini,Cooper Countryman,wagon,automatic,fl,3.8,19286.0,white,black,18450,17000,59100,2,southeast,1
218,218,218,182842,1998,toyota,Camry,sedan,automatic,md,2.4,166954.0,green,tan,1375,1300,89090,17,northeast,1
219,219,219,128131,2013,toyota,Corolla,sedan,automatic,pa,2.7,52984.0,silver,black,11350,10800,73100,2,northeast,2
